INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.89, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.89, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.93, shoulder height: 0.31
INFO:root:Fall detected at hip height: 0.98, shoulder height: 0.34
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.31
INFO:root:Fall detected at hip height: 0.95, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.92, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.31
INFO:root:Fall detected at hip height: 0.98, shoulder height: 0.36
INFO:root:Fall detected at hip height: 0.82, shoulder height: 0.70
